zone,cluster,n_changes,n_strong_relations,summary
32,0,3,0,NDWI decrease 2020->2021 (Δ=-3.21); NDWI increase 2021->2022 (Δ=3.98); NDWI decrease 2024->2025 (Δ=-2.93); water-content loss; water-content gain; water-content loss
33,1,14,0,NDVI decrease 2020->2021 (Δ=-159.05); NDWI decrease 2020->2021 (Δ=-94.11); EVI increase 2020->2021 (Δ=8.72); NDVI increase 2021->2022 (Δ=136.08); NDWI increase 2021->2022 (Δ=87.18); EVI decrease 2021->2022 (Δ=-43.08); NDVI increase 2022->2023 (Δ=14.47); NDWI decrease 2022->2023 (Δ=-7.22); EVI increase 2022->2023 (Δ=59.58); NDVI decrease 2023->2024 (Δ=-15.72); NDWI increase 2023->2024 (Δ=16.71); EVI decrease 2023->2024 (Δ=-1.68); NDVI decrease 2024->2025 (Δ=-63.62); NDWI decrease 2024->2025 (Δ=-183.18); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop; vegetation gain; water-content loss; EVI rise; vegetation loss; water-content gain; EVI drop; vegetation loss; water-content loss
34,0,1,0,EVI decrease 2020->2021 (Δ=-2.39); EVI drop
35,0,1,0,NDWI decrease 2024->2025 (Δ=-1.98); water-content loss
36,1,15,0,NDVI decrease 2020->2021 (Δ=-69.16); NDWI decrease 2020->2021 (Δ=-26.24); EVI decrease 2020->2021 (Δ=-9.29); NDVI increase 2021->2022 (Δ=92.35); NDWI increase 2021->2022 (Δ=26.04); EVI increase 2021->2022 (Δ=7.80); NDVI decrease 2022->2023 (Δ=-32.65); NDWI decrease 2022->2023 (Δ=-31.27); EVI increase 2022->2023 (Δ=4.69); NDVI increase 2023->2024 (Δ=12.11); NDWI increase 2023->2024 (Δ=31.74); EVI increase 2023->2024 (Δ=8.91); NDVI decrease 2024->2025 (Δ=-18.89); NDWI decrease 2024->2025 (Δ=-130.56); EVI decrease 2024->2025 (Δ=-10.36); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
37,3,15,0,NDVI decrease 2020->2021 (Δ=-48.16); NDWI decrease 2020->2021 (Δ=-19.37); EVI decrease 2020->2021 (Δ=-37.03); NDVI decrease 2021->2022 (Δ=-5.14); NDWI decrease 2021->2022 (Δ=-81.26); EVI decrease 2021->2022 (Δ=-56.99); NDVI increase 2022->2023 (Δ=9.01); NDWI increase 2022->2023 (Δ=64.82); EVI increase 2022->2023 (Δ=93.38); NDVI decrease 2023->2024 (Δ=-17.01); NDWI decrease 2023->2024 (Δ=-22.37); EVI decrease 2023->2024 (Δ=-42.90); NDVI decrease 2024->2025 (Δ=-34.74); NDWI decrease 2024->2025 (Δ=-32.08); EVI increase 2024->2025 (Δ=15.55); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI rise
38,1,14,0,NDVI decrease 2020->2021 (Δ=-8.77); NDWI decrease 2020->2021 (Δ=-8.92); EVI decrease 2020->2021 (Δ=-6.91); NDVI decrease 2021->2022 (Δ=-4.17); NDWI decrease 2021->2022 (Δ=-29.24); EVI decrease 2021->2022 (Δ=-10.57); NDVI decrease 2022->2023 (Δ=-25.93); NDWI decrease 2022->2023 (Δ=-2.23); EVI increase 2022->2023 (Δ=19.15); NDVI increase 2023->2024 (Δ=29.38); NDWI increase 2023->2024 (Δ=23.15); NDVI decrease 2024->2025 (Δ=-68.80); NDWI decrease 2024->2025 (Δ=-154.99); EVI increase 2024->2025 (Δ=9.53); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; vegetation loss; water-content loss; EVI rise
39,1,11,0,NDVI decrease 2020->2021 (Δ=-42.53); EVI increase 2020->2021 (Δ=13.73); NDVI increase 2021->2022 (Δ=39.42); NDWI increase 2021->2022 (Δ=23.18); NDVI decrease 2022->2023 (Δ=-3.84); EVI decrease 2022->2023 (Δ=-8.64); NDVI increase 2023->2024 (Δ=11.72); NDWI increase 2023->2024 (Δ=17.10); EVI increase 2023->2024 (Δ=11.34); NDVI decrease 2024->2025 (Δ=-15.97); NDWI decrease 2024->2025 (Δ=-114.43); vegetation loss; EVI rise; vegetation gain; water-content gain; vegetation loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
40,0,11,0,NDWI decrease 2020->2021 (Δ=-6.65); EVI increase 2020->2021 (Δ=2.02); NDVI increase 2021->2022 (Δ=2.73); NDWI increase 2021->2022 (Δ=5.05); EVI decrease 2021->2022 (Δ=-2.25); NDWI decrease 2022->2023 (Δ=-4.40); EVI decrease 2022->2023 (Δ=-2.18); NDWI increase 2023->2024 (Δ=1.93); EVI increase 2023->2024 (Δ=3.87); NDVI decrease 2024->2025 (Δ=-4.21); NDWI decrease 2024->2025 (Δ=-44.23); water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop; water-content loss; EVI drop; water-content gain; EVI rise; vegetation loss; water-content loss
41,3,14,0,NDVI decrease 2020->2021 (Δ=-12.93); NDWI decrease 2020->2021 (Δ=-3.82); EVI decrease 2020->2021 (Δ=-1.79); NDVI decrease 2021->2022 (Δ=-33.80); NDWI decrease 2021->2022 (Δ=-55.60); EVI decrease 2021->2022 (Δ=-47.38); NDVI increase 2022->2023 (Δ=19.95); NDWI increase 2022->2023 (Δ=30.28); EVI increase 2022->2023 (Δ=59.97); NDVI decrease 2023->2024 (Δ=-50.69); NDWI decrease 2023->2024 (Δ=-8.01); NDVI decrease 2024->2025 (Δ=-2.86); NDWI decrease 2024->2025 (Δ=-17.58); EVI decrease 2024->2025 (Δ=-6.18); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; vegetation loss; water-content loss; EVI drop
42,1,15,0,NDVI decrease 2020->2021 (Δ=-56.44); NDWI decrease 2020->2021 (Δ=-120.93); EVI increase 2020->2021 (Δ=2.21); NDVI increase 2021->2022 (Δ=63.09); NDWI increase 2021->2022 (Δ=124.33); EVI increase 2021->2022 (Δ=11.13); NDVI decrease 2022->2023 (Δ=-9.82); NDWI decrease 2022->2023 (Δ=-18.11); EVI decrease 2022->2023 (Δ=-5.24); NDVI increase 2023->2024 (Δ=12.11); NDWI increase 2023->2024 (Δ=23.28); EVI increase 2023->2024 (Δ=2.89); NDVI decrease 2024->2025 (Δ=-33.45); NDWI decrease 2024->2025 (Δ=-157.72); EVI decrease 2024->2025 (Δ=-10.63); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
43,0,0,0,no strong pattern
44,0,4,0,NDVI decrease 2020->2021 (Δ=-2.04); NDWI decrease 2020->2021 (Δ=-2.04); NDWI increase 2023->2024 (Δ=2.04); NDWI decrease 2024->2025 (Δ=-2.13); vegetation loss; water-content loss; water-content gain; water-content loss
45,1,15,0,NDVI decrease 2020->2021 (Δ=-144.06); NDWI decrease 2020->2021 (Δ=-63.45); EVI increase 2020->2021 (Δ=10.22); NDVI increase 2021->2022 (Δ=98.08); NDWI increase 2021->2022 (Δ=52.55); EVI decrease 2021->2022 (Δ=-96.63); NDVI increase 2022->2023 (Δ=41.49); NDWI increase 2022->2023 (Δ=3.54); EVI increase 2022->2023 (Δ=101.31); NDVI decrease 2023->2024 (Δ=-27.78); NDWI increase 2023->2024 (Δ=4.40); EVI increase 2023->2024 (Δ=3.82); NDVI decrease 2024->2025 (Δ=-77.41); NDWI decrease 2024->2025 (Δ=-194.98); EVI decrease 2024->2025 (Δ=-2.90); vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
46,0,1,1,NDWI decrease 2024->2025 (Δ=-5.87); EVI(t) -> NDVI(t+1) r=0.85 p=0.018; water-content loss
47,1,15,0,NDVI decrease 2020->2021 (Δ=-77.36); NDWI decrease 2020->2021 (Δ=-32.43); EVI decrease 2020->2021 (Δ=-3.25); NDVI increase 2021->2022 (Δ=105.44); NDWI increase 2021->2022 (Δ=31.27); EVI increase 2021->2022 (Δ=10.48); NDVI decrease 2022->2023 (Δ=-40.26); NDWI decrease 2022->2023 (Δ=-16.46); EVI decrease 2022->2023 (Δ=-14.55); NDVI increase 2023->2024 (Δ=12.57); NDWI increase 2023->2024 (Δ=12.98); EVI increase 2023->2024 (Δ=14.59); NDVI decrease 2024->2025 (Δ=-15.43); NDWI decrease 2024->2025 (Δ=-109.70); EVI decrease 2024->2025 (Δ=-2.40); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
48,3,15,0,NDVI decrease 2020->2021 (Δ=-11.93); NDWI decrease 2020->2021 (Δ=-24.41); EVI decrease 2020->2021 (Δ=-6.02); NDVI decrease 2021->2022 (Δ=-67.08); NDWI decrease 2021->2022 (Δ=-62.82); EVI decrease 2021->2022 (Δ=-65.95); NDVI increase 2022->2023 (Δ=44.31); NDWI increase 2022->2023 (Δ=53.98); EVI increase 2022->2023 (Δ=79.24); NDVI decrease 2023->2024 (Δ=-59.95); NDWI decrease 2023->2024 (Δ=-38.37); EVI increase 2023->2024 (Δ=4.90); NDVI increase 2024->2025 (Δ=10.35); NDWI increase 2024->2025 (Δ=10.55); EVI decrease 2024->2025 (Δ=-11.14); vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise; vegetation gain; water-content gain; EVI drop
49,1,12,0,NDVI decrease 2020->2021 (Δ=-21.29); NDWI decrease 2020->2021 (Δ=-19.72); NDVI increase 2021->2022 (Δ=7.06); NDWI increase 2021->2022 (Δ=3.49); EVI decrease 2021->2022 (Δ=-10.93); NDWI decrease 2022->2023 (Δ=-2.02); EVI increase 2022->2023 (Δ=9.31); NDVI increase 2023->2024 (Δ=12.42); NDWI increase 2023->2024 (Δ=5.92); EVI increase 2023->2024 (Δ=11.88); NDVI decrease 2024->2025 (Δ=-89.11); NDWI decrease 2024->2025 (Δ=-167.38); vegetation loss; water-content loss; vegetation gain; water-content gain; EVI drop; water-content loss; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss
50,1,14,1,NDVI decrease 2020->2021 (Δ=-81.08); NDWI decrease 2020->2021 (Δ=-63.03); EVI decrease 2020->2021 (Δ=-5.02); NDVI increase 2021->2022 (Δ=168.20); NDWI increase 2021->2022 (Δ=66.92); EVI increase 2021->2022 (Δ=12.39); NDVI decrease 2022->2023 (Δ=-86.83); NDWI decrease 2022->2023 (Δ=-22.48); EVI decrease 2022->2023 (Δ=-24.89); NDVI decrease 2023->2024 (Δ=-8.99); NDWI increase 2023->2024 (Δ=19.13); EVI increase 2023->2024 (Δ=20.77); NDWI decrease 2024->2025 (Δ=-123.89); EVI decrease 2024->2025 (Δ=-2.16); NDVI(t) -> EVI(t+1) r=-0.93 p=0.030; vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation loss; water-content gain; EVI rise; water-content loss; EVI drop
51,1,14,0,NDVI decrease 2020->2021 (Δ=-19.59); NDWI decrease 2020->2021 (Δ=-45.40); EVI decrease 2020->2021 (Δ=-8.09); NDVI increase 2021->2022 (Δ=15.93); EVI decrease 2021->2022 (Δ=-8.88); NDVI decrease 2022->2023 (Δ=-19.75); NDWI increase 2022->2023 (Δ=13.41); EVI increase 2022->2023 (Δ=19.07); NDVI increase 2023->2024 (Δ=29.15); NDWI increase 2023->2024 (Δ=25.70); EVI increase 2023->2024 (Δ=3.05); NDVI decrease 2024->2025 (Δ=-64.25); NDWI decrease 2024->2025 (Δ=-167.78); EVI increase 2024->2025 (Δ=3.94); vegetation loss; water-content loss; EVI drop; vegetation gain; EVI drop; vegetation loss; water-content gain; EVI rise; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise
52,3,15,0,NDVI decrease 2020->2021 (Δ=-157.35); NDWI decrease 2020->2021 (Δ=-62.40); EVI decrease 2020->2021 (Δ=-3.22); NDVI increase 2021->2022 (Δ=70.79); NDWI increase 2021->2022 (Δ=11.12); EVI decrease 2021->2022 (Δ=-103.69); NDVI increase 2022->2023 (Δ=81.72); NDWI increase 2022->2023 (Δ=29.45); EVI increase 2022->2023 (Δ=117.93); NDVI decrease 2023->2024 (Δ=-43.16); NDWI increase 2023->2024 (Δ=22.76); EVI increase 2023->2024 (Δ=2.57); NDVI decrease 2024->2025 (Δ=-77.84); NDWI decrease 2024->2025 (Δ=-192.45); EVI decrease 2024->2025 (Δ=-2.57); vegetation loss; water-content loss; EVI drop; vegetation gain; water-content gain; EVI drop; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop
53,1,11,0,NDVI decrease 2020->2021 (Δ=-28.05); NDWI increase 2020->2021 (Δ=35.88); NDVI increase 2021->2022 (Δ=30.68); EVI increase 2021->2022 (Δ=12.12); NDWI increase 2022->2023 (Δ=17.99); EVI decrease 2022->2023 (Δ=-9.47); NDWI increase 2023->2024 (Δ=12.83); EVI increase 2023->2024 (Δ=3.84); NDVI decrease 2024->2025 (Δ=-5.28); NDWI decrease 2024->2025 (Δ=-129.80); EVI increase 2024->2025 (Δ=3.96); vegetation loss; water-content gain; vegetation gain; EVI rise; water-content gain; EVI drop; water-content gain; EVI rise; vegetation loss; water-content loss; EVI rise
54,0,11,0,NDVI decrease 2020->2021 (Δ=-2.31); NDWI decrease 2020->2021 (Δ=-3.83); NDVI increase 2021->2022 (Δ=4.40); NDWI increase 2021->2022 (Δ=4.14); EVI increase 2021->2022 (Δ=1.81); NDVI decrease 2022->2023 (Δ=-2.35); NDWI decrease 2022->2023 (Δ=-1.53); EVI decrease 2022->2023 (Δ=-3.15); NDVI decrease 2024->2025 (Δ=-3.66); NDWI decrease 2024->2025 (Δ=-22.46); EVI increase 2024->2025 (Δ=2.15); vegetation loss; water-content loss; vegetation gain; water-content gain; EVI rise; vegetation loss; water-content loss; EVI drop; vegetation loss; water-content loss; EVI rise
